@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
120,67632,221,67699,299,0.995603,0.996743,0.499752,0.996743,0.500248,0.665722,0.996172,1.000573,0.161667
121,67632,221,67698,300,0.995588,0.996743,0.499756,0.996743,0.500244,0.665725,0.996165,1.00058,0.162083
122,67632,221,67697,301,0.995573,0.996743,0.49976,0.996743,0.50024,0.665728,0.996158,1.000588,0.1625
123,67631,222,67697,301,0.995573,0.996728,0.499756,0.996728,0.500244,0.665722,0.99615,1.00058,0.162667
124,67630,223,67697,301,0.995573,0.996713,0.499752,0.996713,0.500248,0.665715,0.996143,1.000573,0.162857
125,67630,223,67696,302,0.995559,0.996713,0.499756,0.996713,0.500244,0.665718,0.996135,1.00058,0.163333
126,67630,223,67695,303,0.995544,0.996713,0.49976,0.996713,0.50024,0.665722,0.996128,1.000588,0.163571
127,67630,223,67694,304,0.995529,0.996713,0.499764,0.996713,0.500236,0.665725,0.996121,1.000595,0.163846
128,67630,223,67693,305,0.995515,0.996713,0.499767,0.996713,0.500233,0.665728,0.996113,1.000602,0.163889
129,67630,223,67692,306,0.9955,0.996713,0.499771,0.996713,0.500229,0.665732,0.996106,1.00061,0.164
130,67629,224,67689,309,0.995456,0.996699,0.499778,0.996699,0.500222,0.665735,0.996077,1.000625,0.164327
131,67629,224,67688,310,0.995441,0.996699,0.499782,0.996699,0.500218,0.665738,0.996069,1.000632,0.164601
132,67628,225,67688,310,0.995441,0.996684,0.499778,0.996684,0.500222,0.665731,0.996062,1.000625,0.164615
133,67628,225,67687,311,0.995426,0.996684,0.499782,0.996684,0.500218,0.665735,0.996055,1.000632,0.164923
134,67628,225,67686,312,0.995412,0.996684,0.499786,0.996684,0.500214,0.665738,0.996047,1.000639,0.165263
135,67627,226,67686,312,0.995412,0.996669,0.499782,0.996669,0.500218,0.665731,0.99604,1.000632,0.165305
136,67626,227,67686,312,0.995412,0.996655,0.499778,0.996655,0.500222,0.665725,0.996032,1.000625,0.165714
137,67625,228,67684,314,0.995382,0.99664,0.499782,0.99664,0.500218,0.665725,0.99601,1.000632,0.166154
138,67625,228,67683,315,0.995368,0.99664,0.499786,0.99664,0.500214,0.665728,0.996003,1.000639,0.166207
139,67625,228,67682,316,0.995353,0.99664,0.499789,0.99664,0.500211,0.665731,0.995996,1.000647,0.166583
140,67625,228,67681,317,0.995338,0.99664,0.499793,0.99664,0.500207,0.665735,0.995988,1.000654,0.166667
141,67624,229,67678,320,0.995294,0.996625,0.4998,0.996625,0.5002,0.665738,0.995959,1.000669,0.166667
142,67623,230,67678,320,0.995294,0.99661,0.499797,0.99661,0.500203,0.665731,0.995951,1.000662,0.166667
143,67622,231,67677,321,0.995279,0.996596,0.499797,0.996596,0.500203,0.665728,0.995937,1.000662,0.167302
144,67622,231,67676,322,0.995265,0.996596,0.4998,0.996596,0.5002,0.665731,0.995929,1.000669,0.167308
145,67622,231,67675,323,0.99525,0.996596,0.499804,0.996596,0.500196,0.665735,0.995922,1.000676,0.167474
146,67622,231,67674,324,0.995235,0.996596,0.499808,0.996596,0.500192,0.665738,0.995915,1.000684,0.167609
147,67622,231,67673,325,0.99522,0.996596,0.499812,0.996596,0.500188,0.665741,0.995907,1.000691,0.167692
148,67621,232,67673,325,0.99522,0.996581,0.499808,0.996581,0.500192,0.665735,0.9959,1.000684,0.168561
149,67620,233,67673,325,0.99522,0.996566,0.499804,0.996566,0.500196,0.665728,0.995893,1.000676,0.16875
150,67620,233,67672,326,0.995206,0.996566,0.499808,0.996566,0.500192,0.665731,0.995885,1.000684,0.168889
151,67620,233,67671,327,0.995191,0.996566,0.499812,0.996566,0.500188,0.665735,0.995878,1.000691,0.169788
152,67619,234,67671,327,0.995191,0.996551,0.499808,0.996551,0.500192,0.665728,0.99587,1.000684,0.17
153,67617,236,67669,329,0.995162,0.996522,0.499808,0.996522,0.500192,0.665722,0.995841,1.000684,0.170074
154,67617,236,67668,330,0.995147,0.996522,0.499812,0.996522,0.500188,0.665725,0.995834,1.000691,0.171
155,67617,236,67667,331,0.995132,0.996522,0.499815,0.996522,0.500185,0.665728,0.995826,1.000698,0.171016
156,67617,236,67666,332,0.995118,0.996522,0.499819,0.996522,0.500181,0.665731,0.995819,1.000706,0.171055
157,67616,237,67666,332,0.995118,0.996507,0.499815,0.996507,0.500185,0.665725,0.995812,1.000698,0.171111
158,67616,237,67665,333,0.995103,0.996507,0.499819,0.996507,0.500181,0.665728,0.995804,1.000706,0.171333
